name,image,description
"Wonderful Shelled Pistachios, 24-Ounces",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTEriBJAAQ7tPtmnePVqzCrZqHtTUeCXGAl8oNf8xUo-ORmmlmFdT6sWRDOAT-tZfi1tlmhIDws&usqp=CAk,"Wonderful Pistachios, the totally natural guilt-free snack. With no shells, it's easier than ever to grab a healthy snack or add a little crunch to salads, desserts, or your favorite recipes. Specifications: The most nutrient dense nut. One of the lowest calorie and lowest fat nuts. One of the highest fiber nuts. Wonderful Pistachios are grown using environmentally-friendly farming methods."
"Kirkland Signature Marcona Almonds, 1.1-Pounds",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRn6Ml6BbTp2QCGwGE8M5oabXjLvd1Lk1bidNS57_nP2ku5O3TUGgUunDobM1kqiaJEZ9ZBrU1H&usqp=CAk,"Ingredients: blanched margona almonds, peanut oil, sea salt. Contains: almonds."
"Kirkland Signature Unsalted Fancy Mixed Nuts, 40-Ounces",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQhCxD9qqgH2PDqR5Ctq3cIKzCt05w_GM86AeojjDC4jAmupDx547Ke1Hk1XpsEigYcU1MVqyOq&usqp=CAk,"Enjoy the high-quality Kirkland Signature Unsalted Mixed Nuts, 2.5 lb. jar of delicious Mixed Nuts, which is a medley of cashews, almonds, pecans, and pistachios. A great snack for on the go!"
"Kirkland Signature Walnuts, 3-Pounds",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTsocTiAk4pYA_O0IUlaQvyiAb-MsuyEduyBIGo8XmVQEAVfGrFT6yY-lBDe9lcmlnv11x4ml6X&usqp=CAk,null
"Kirkland Signature Milk Chocolate Almonds, 48-Ounces",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSmPQfI69V-zLfvn1R9sIafpPDJgDdOQLbiJBPO-gg-bTu2jSsWnciERQZDuzOjvT5BrWNO9bmMCQ&usqp=CAk,null
Kirkland Signature Unsalted Cashews 2.5 Pound Jar,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSsr9Wfp6kmqrTtl9OZ7PUAhxQatsUEO-dfksm61OdvfcMQ3b9z1GspM5z0w_6bh9qqBlLz8d_c7w&usqp=CAk,"Delicious, all natural whole cashews, perfect for snacking or baking. Allergy Information: Processed on equipment that also packages products that may contain peanuts, other tree nuts, milk, soy, and wheat. Consumers with food allergies or food sensitivities, please read the ingredient statement carefully. Ingredients: cashews, peanut oil and salt."
"Kirkland Signature Pistachio, 3-Pounds",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTRO3XXQ6UuELQuvGQAtDHn6WBbch-PdnG7RiHiAV3fc3R8z7Ra5QNRpXDQGtLEaGVbHWMc8K-4LA&usqp=CAk,"Using only the highest quality of California-grown pistachios. Naturally split, these are the finest quality nuts available, bursting with crunchy, mouthwatering flavor. Rich in nutrients, fiber and protein, yet low in saturated fat and free of cholesterol. All natural and preservative-free."
Kirkland Signature Salt&Pepper Pistachios 3 Lbs,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR5oYrItTK1XP1Vl872Jl7orCd4yLRz3chjmZN3T3ZiQIvXtx5ZPH7PIZdZ2A&usqp=CAk,Kirkland Signature Salt&Pepper Pistachios 3 Lbs
"Wonderful In Shell Pistachios, 24 X 1.5 oz",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRGpRdSMucVVlZX0ohmBmkNi3KXKLFfoLSreVtLBIoHqVBdIEusPn0y2ErR1km9iFeC2vL9_j5T&usqp=CAk,"Get crackin'! From our trees to our home, we take great care to ensure that Wonderful Pistachios are of the highest quality. In fact, we are involved in every step of the process, from growing and harvesting to roasting and packing. We believe this makes for the best quality and best tasting pistachios money can buy. Wonderful Pistachios are harvested in one of the most perfect environments on Earth for growing tree nuts - California's San Joaquin Valley. Only a handful of locations in the world share its Mediterranean climate and rich, fertile soil. It's what makes our Wonderful Pistachios so, well, wonderful. So get crackin'! Heart healthy. Scientific evidence suggests but does not prove that eating 1.5 ounces per day of most nuts, such as pistachios, as part of a diet low in saturated fat and cholesterol may reduce the risk of heart disease. 1% for the planet. Product of USA."
"Freeland Foods Sprouted Watermelon Seeds, 16 oz",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS29xG9itvgX9qCUizgOdoMzTvPuDp8prLxrepMK2jDc65kMVQoY_h8co7JZw&usqp=CAk,"Freeland Foods Sprouted Watermelon Seeds, 16 oz"
"Organic Nutiva Hemp Seeds, 240 oz",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS9X55UyGg1rVVaoPqtjqIzT2J09E0i9G3zACDAyNC9nfNEnLLop7ivx7itVkE&usqp=CAk,"Organic Nutiva Hemp Seeds, 240 oz. Raw Shelled"
"Organic Go Raw Sprouted Pumpkin Seeds, 16-Ounces",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSPim-yuOvT3I9RI21ISozzXF-LtiwDeODVYetXJa--tQdGCSPVgek61OaOBXkw1f2CVRN1EkKV&usqp=CAk,"Wheat free. Nut free. Gluten free. All live (dried under 105 degrees). All seeds sprouted. No GMO's. No trans fats. No cholesterol. All hand made. All raw kitchen. All family owned. Certified gluten free. USDA organic. Real live food. Pure & simple. The true flavor of life can be found here. Uncooked & unprocessed, this food comes to you just as nature intended. Please feed this to your children and love them above all else. - R & B. Raw. Vegan. Certified organic. Certified wheat/gluten free. Nut free (May contain coconut. Do not consume if severely allergic.). One of our favorite foods, these organic pumpkin seeds are guaranteed to be the tastiest you've ever tried. Sprouted then dehydrated under 105 degrees they are as alive as any sprout. Considered one of the healthiest foods in the world, pumpkin seeds are high in amino acids, zinc, protein, iron and many believe they can help prevent prostate cancer. Feed these to your children, take them with you to work, by themselves or sprinkled on salads be assured - these are the best! With our new solar powered production facility in development and our eventual transition towards biodegradable packaging, we are looking forward to becoming an entirely sustainable operation. Certified organic by Guaranteed Organic Certification Agency."
"Kirkland Signature Cashew Cluster, 2-Pounds",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSlsVf_bIwPGAa6Y4TAz-7roMwMg3j6LJ3J2B1iDrNGPMyDCEqyzEbdzP49XDI25cKuyrF5n0DWvQ&usqp=CAk,"The best thing about these clusters is that you do not have to feel guilty about eating them, because they are filled with great healthy nuts!"
Kirkland Signature Organic Pine Nuts 240 Oz (1.5 Lbs),https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSKufHkAW9u48H41exTl8tsQY-Mq5zXOSxinZIQgseDfuSnZ00MpeOINNO3vsOQ-CYBJPCZI0o&usqp=CAk,Kirkland Signature Organic Pine Nuts 240 Oz (1.5 Lbs)
"Hoody's Organic Cashews, Unroasted/Unsalted, 2.5 lbs",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRXsh7YTjS8wATtXpdW8LXlpf8vEOpDMYja6_tOUcC1mBS0OC_Up-8hJZcYaHM&usqp=CAk,"Hoody's Organic Cashews, Unroasted/Unsalted, 2.5 lbs"
Kirkland Signature Roasted/Salted Macadamia Nut 24 Ounce,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTkznW2hsNF6a-brjPqCOO3f12-O0RtbstXW6fhccFvSMsCMfQZRJhl6iqxH1rvh_TlrO5yqC4d&usqp=CAk,Kirkland Signature Roasted/Salted Macadamia Nut 24 Ounce
"Kirkland Signature Extra Fancy Mixed Nuts with Macadamias, 2.5-Pounds",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcShdmCsuZLDUUk940gAcOaICAoUcMK13b0b4l1dCWU0iLrgZIWD4_gsjIYMqm_eqvjrlwEv30-Oog&usqp=CAk,"Enjoy the high-quality Kirkland Signature Mixed Nuts, a medley of cashews, almonds, pecans, Brazil nuts and now macadamia nuts. A great snack for on the go! Allergy Information: Packed on equipment that also packages products that may contain peanuts and / or other tree nuts. Consumers with food allergies or food sensitivities, please read the ingredient statement carefully."
"Kirkland Signature Whole Fancy Cashews, 2.5-Pounds",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT7eo_Mih85HSgnujobh1OL2JYpSxkuGmCR8mdrI__SlpJGeSPIWqNsGj87gNV70vUaisYgngs&usqp=CAk,"Enjoy high-quality kirkland signature whole cashews, 2.5 lb. jar. Delicious all natural whole cashews, perfect for snacking or baking. Ingredient: cashews, peanut oil and salt."
"Go Raw Organic Sprouted Sunflower Seeds, 16-Ounce",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSzlAJDqbRnweQB3O-bLeyxdAYKPNUn8_A_PrjIqKQqL162B-fOU-44SLaBYroevh6IRS_5Mcyt&usqp=CAk,"Real live food. 100% organic. Gluten free. Wheat free. Nut free (Made in a facility that processes coconut and sesame seeds). All live (dried under 105 degrees F). All seeds sprouted. No GMOs. No trans fats. No cholesterol. All hand made. All raw kitchen. All family owned. USDA organic. Why raw? All content has been dried under 105 degrees F and all seeds have been sprouted, releasing enzymes which make them healthier and easier to digest. Sprouted seeds are among the most nutritionally dense foods on the planet. Raw. Vegan. Certified organic. Sprouted then dehydrated under 105 degrees F, these sunflower seeds are full of life. They taste excellent even though they're not roasted in tons of oil. Sunflower seeds are one of the world's greatest whole food sources of vitamin E (an antioxidant) & zinc (for the immune system). They're high in protein, low in carbs and are a perfect salad topping or everyday snack. Enjoy! 350 mg omega-6 (per serving). 90 mg potassium (per serving). 15% magnesium (per serving). 8% iron (per serving). Creating real live food is our passion. We Source the Best: The very best organic seeds are selected, preferably from local growers. We Sprout with Care: The seeds are optically sorted, soaked in filtered water, rinsed, then sprouted to perfection. We Craft the Finest: The finest organic ingredients are mixed in, then hand spread on trays. The mix is loaded into custom-built dehydrators and slowly dried at an average 98 degrees F to maximize enzymatic and nutritional integrity and flavor. We Pack with a Promise: Our products are packed and refrigerated exclusively in-house on dedicated equipment for uncompromised taste and freshness. Our Pledge: Provide the healthiest, most flavorful foods ever made. No nonsense. No gimmicks. Please Note: Products may vary in texture, color & flavor due to seasonal and crop variances. Our Quality Guarantee: If you are not fully satisfied, we will gladly replace any products for any reason. Certified gluten-free. Certified Organic By: Organic Certifiers."
"Organic Nutiva Chia Seeds, 32-Ounces",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTVibAAnAE2KjEUGxtwv58Mgw6NR-P70qwMGDlJtXP1Dg0BJf3ckYdMavg6xYN6T7NJ1CRKvONFlw&usqp=CAk,"Nutiva Organic Chia Seed The Mighty Seed. 5g Fiber, 3g Protein, 2.5g Omega-3. Ancient Superfood of the Aztecs. USDA Organic. Revered by the early Aztec and Mayan cultures, chia seeds are a superfood packed with fiber, protein, omega-3 fatty acids, and antioxidants. Tiny but mighty Nutiva organic chia seeds are versatile for use in recipes both savory and sweet, including yogurt and oatmeal, or in smoothies, added to sauces as a thickener and to muffins and cakes as an egg replacement."
"Mariani Nut Company Sliced Almonds, 2-Pounds",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRpTE27Mn4eSEd_YuNy3_BlBIsz9nWHHklUUY0dRCnI0DJzVvmczmeLJUMoM3w5kSSKFmerZKSV&usqp=CAk,"The Mariani family has been growing and producing the finest quality, premium Almonds without compromise. Mariani Almonds are freshly harvested from farms in California and packed in their natural form, without adding any preservatives, oil, salt, or other ingredients. These all-natural, nutritious Almonds are a simple and delicious addition to an active lifestyle."
Kirkland Signature Dark Chocolate Toasted Cashews 28.8 oz,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSGeaGzYVhSZAZ0GOqhcqKQKWxZKA2cVDEy4G-TDwOi85gfhWZlmr0ZuXi8LQ&usqp=CAk,These Cashews are Layered in Vanilla Creme and Dark Chocolate then Dusted with Toasted Coconut. Keep Refrigerated upon Opening Jar.
"Kirkland Signature Super Extra-Large Peanuts, 2.5-Pounds",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQzTHDT1YNVs85_VO7caTQ6nBrV-QPHh130EBIOK461KxRDf3A-1ZdQ1fK6XWXdw1FQeyxilrIP&usqp=CAk,"Virginia Variety. Extra Crunchy. We've taken our process back to the beginning using an old fashioned roasting process called blister roast. Roasting our Kirkland Signature Super Extra Large Virginia Variety Peanuts in this way gives them their unique blistered appearance and creates an unsurpassed crunch. With just a touch of salt added, there's nothing to interfere with the natural peanut flavor. Enjoy some today and give new life to an old tradition! Ingredients: Peanuts, Peanut Oil and Salt. Contains: Peanuts."
"Galil Organic Roasted Chestnuts, 20-Ounces",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTCINWuQGLaMI5gfOMWCD8KOJqpqSmgQu5MTBZYGWgFCoLw2Us-EXBEhQYXzEqpv9gb6foIhpa_xg&usqp=CAk,"Galil Organic Roasted Chestnuts, 20-Ounces"
"Blue Diamond Smokehouse Almonds, 2.37-Pounds",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQf9eTp_L7HwcxsgCAo33XSgaSZak6QgXmcIT9qFd-t3CJffFeUhD7QtLPDliVa7MOex5nIkBC-Ng&usqp=CAk,Irresistible Snacking. Smart Eating. 2 g Net Carbs Per Serving (5g total carbs - 3g fiber = 2g net carbs). Net Wt 38 oz (2.38 lb) 1.08 kg. Most popular variety. A special treat for lunches. Great for snacks! Peanut free. May contain other tree nuts.
Savanna Orchards Honey Roasted Mixed Nuts 30 Oz,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQw1lrylYgDC2OgKuRaRPZVEh8f-zo8jGuqst0on5dG26v6-uy1zOe9QH2Uf8Q_663B6lGTgJ5v&usqp=CAk,Savanna Orchards Honey Roasted Mixed Nuts 30 Oz
"Kirkland Signature Non Pareil Almonds, 3-Pounds",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTVDDDSgUAbIH4cpH3qByOSwkRYqja7xNkT2BeIdGRSGE46y1BF9D2zt1IoWxpwK9NS1wPiW4g8&usqp=CAk,"The idea was simple that we wanted to provide the best quality, the best value and the best taste to our almond-loving member. Signature almonds are the finest quality nuts available, bursting with a crunchy, mouth-watering taste."
"Kirkland Signature Pecan Halves, 2-Pound",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSjU8wvjyH9Dp5mdjBg4pYyuc0uEB4JPlGQ_MFh31_a12RPPULL0epv3LEfDlL7vRv4SEDMxCTU&usqp=CAk,"Top quality premium pecans for all you nut lovers. Use them in your baking or just eat them as is. Pecans are a natural, high-quality source of protein. Pecans are naturally sodium-free, making them an excellent choice for those on a salt or sodium restricted diet."
Kirkland Signature Dry Roasted Almonds 2.5 Lbs,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQh3vAOESRljJ4Xu_eMKOPNw7OD3RQfIQwkVeNjpAsdh9urav7a3HD6gKsE-PaO-MfJNdYaNab5&usqp=CAk,"Seasoned with Sea Salt. California Grown. Every Kirkland Signature product is guaranteed to meet or exceed the quality standards of the leading national brands. Ingredients: Dry roasted almonds, sea salt."
Savanna Orchards Dry Roast Macadamias 1.5 Pounds,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTwfofEA20l6ZdTCRqlL3hIvB7zI_tmMueK-y9WKDa1zy9LBeJk58WNsRy0V8Epr05KiFnxems&usqp=CAk,Savanna Orchards Dry Roast Macadamias 1.5 Pounds
Trident Fruit Variety Pack 16 Ct/18 Pc,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQrjpbknLV9dlS7g8PCsFK-30YALCJcKOtymyiecbsvE_2aNaJ95Wj2JYItDWqIxjwadt9bItgY&usqp=CAk,"This is a 16 pack fruit variety case. Each pack has 18 pieces of gum, totaling 288 pieces. There's 3 different flavors in the case. 8 packs of Tropical Twist, 4 packs of Watermelon Twist, and 4 packs of Island Berry Lime. This is enough to keep you stocked for quite a while!"
Lindt Lindor Truffles 21.2 Oz (1.325 Lbs),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQpeNEg7lNVoirgVTXbftJTSNwuu2Mr_02wAQmB6pSkY881BomiVj8054CFKf-gIhl8r0AJ2MYq&usqp=CAk,Lindt Lindor Truffles 21.2 Oz (1.325 Lbs)
"Trident Gum Layers Strawberry Bonus Pack, 10-Count, 14-Piece",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRmxo3mhUiyccRISD969Vproahw95vQjSuTRTJDLP949PVrYusxG4O5bivIUnSbxhLfZc_vwnlG-w&usqp=CAk,null
Dentyne Ice Peppermint Gum Split 2 Fit 12-Pack,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQhbQrh-RtsyGrUHlUhDW06pgn1eqUPmASU4lTTd1MqifIVQCfsc7iEbP_J5r58-dIusL_MmCwc&usqp=CAk,16-Pieces Per Pack